W,Kper9,IP,ERA,WHIP,Inducted
120,5.29,2112.8,3.47,1.34,N
134,2.43,2112.3,3.87,1.35,N
139,4.11,2112.2,2.47,1.13,N
129,4.96,2111.7,3.44,1.27,N
123,4.89,2109.0,4.14,1.39,N
117,5.86,2108.4,3.83,1.32,N
138,8.23,2108.2,3.96,1.36,N
131,3.99,2107.1,3.51,1.35,N
97,2.63,2105.1,4.55,1.51,N
119,5.53,2104.6,3.44,1.39,N
114,6.49,2100.7,3.29,1.24,N
126,5.93,2099.0,4.65,1.41,N
103,4.10,2098.9,3.78,1.34,N
103,2.24,2086.3,3.56,1.34,N
133,3.95,2085.4,2.75,1.20,N
132,4.86,2083.4,4.32,1.38,N
149,0.46,2081.7,2.85,1.25,N
124,6.14,2081.0,3.25,1.25,N
125,4.60,2080.4,3.95,1.36,N
120,2.29,2078.9,4.23,1.47,N
114,4.28,2078.0,3.75,1.37,N
124,5.87,2076.7,4.23,1.31,N
131,5.59,2075.3,4.32,1.39,N
112,5.32,2072.7,4.01,1.41,N
124,6.39,2068.7,3.54,1.20,N
148,3.58,2067.2,3.63,1.32,N
114,3.37,2066.9,3.99,1.45,N
101,3.23,2065.3,3.56,1.28,N
123,3.94,2064.7,3.41,1.24,N
105,3.30,2062.4,3.36,1.31,N
116,4.87,2055.5,4.72,1.46,N
107,2.78,2054.0,3.33,1.33,N
121,4.55,2053.2,3.84,1.27,N
114,1.88,2052.7,3.32,1.30,N
121,6.37,2051.7,3.69,1.30,N
85,1.83,2050.7,4.46,1.48,N
137,5.19,2049.1,3.69,1.29,N
121,3.45,2048.9,2.66,1.16,N
126,3.52,2046.9,3.76,1.28,N
115,3.67,2040.6,3.10,1.35,N
113,4.88,2039.6,3.69,1.35,N
124,3.31,2039.3,3.81,1.31,N
114,5.20,2038.6,3.62,1.24,N
131,6.73,2034.5,3.43,1.32,N
121,7.27,2033.8,4.11,1.38,N
130,4.07,2029.3,2.55,1.13,N
139,8.83,2025.7,3.20,1.13,N
104,3.07,2025.6,4.67,1.59,N
122,3.93,2017.6,3.67,1.23,N
119,5.07,2016.5,4.07,1.37,N
121,6.15,2015.0,3.68,1.31,N
109,3.82,2003.9,3.97,1.44,N
108,2.96,2003.7,4.48,1.50,N
116,4.79,2002.1,3.11,1.19,N
114,2.65,2002.0,3.97,1.38,N
121,5.89,1999.1,3.36,1.38,N
147,3.56,1997.4,2.84,1.18,N
130,7.93,1996.4,3.96,1.32,N
124,4.31,1996.3,3.77,1.33,N
124,7.74,1993.1,4.36,1.40,N
126,5.25,1992.3,3.34,1.28,N
111,4.21,1986.7,4.22,1.43,N
123,2.48,1985.3,4.27,1.49,N
134,3.30,1981.6,3.70,1.31,N
123,8.73,1976.2,4.24,1.35,N
86,4.63,1975.8,4.06,1.35,N
118,5.65,1973.1,4.45,1.37,N
